date,adj_close_price
2004/1/26,45.7185
2004/1/27,44.8629
2004/1/28,44.0588
2004/1/29,45.7598
2004/1/30,45.7907
2004/2/2,46.2649
2004/2/3,45.3577
2004/2/4,44.6877
2004/2/5,45.2237
2004/2/6,45.5948
2004/2/9,45.2753
2004/2/10,45.2134
2004/2/11,45.4608
2004/2/12,45.1309
2004/2/13,45.801
2004/2/17,47.0483
2004/2/18,46.6308
2004/2/19,46.3104
2004/2/20,46.052
2004/2/23,45.7729
2004/2/24,46.4138
2004/2/25,46.6722
2004/2/26,46.4138
2004/2/27,45.8659
2004/3/1,46.7756
2004/3/2,46.7445
2004/3/3,46.941
2004/3/4,47.1374
2004/3/5,47.1477
2004/3/8,46.7652
2004/3/9,46.7652
2004/3/10,45.9072
2004/3/11,43.8915
2004/3/12,44.3877
2004/3/15,42.8681
2004/3/16,42.2892
2004/3/17,44.0569
2004/3/18,44.1086
2004/3/19,43.9432
2004/3/22,43.385
2004/3/23,43.7261
2004/3/24,44.2946
2004/3/25,44.8942
2004/3/26,45.349
2004/3/29,46.083
2004/3/30,46.1967
2004/3/31,46.4241
2004/4/1,47.1477
2004/4/2,47.4888
2004/4/5,47.6956
2004/4/6,47.9333
2004/4/7,47.5302
2004/4/8,47.065
2004/4/12,47.2924
2004/4/13,46.2174
2004/4/14,45.5971
2004/4/15,45.5765
2004/4/16,46.207
2004/4/19,46.0726
2004/4/20,45.6075
2004/4/21,45.6488
2004/4/22,46.0623
2004/4/23,45.7935
2004/4/26,45.2457
2004/4/27,45.1423
2004/4/28,44.9149
2004/4/29,44.5841
2004/4/30,44.1086
2004/5/3,44.1293
2004/5/4,44.46
2004/5/5,44.6564
2004/5/6,44.1086
2004/5/7,42.8991
2004/5/10,42.0722
2004/5/11,42.3616
2004/5/12,42.2996
2004/5/13,42.3719
2004/5/14,42.5167
2004/5/17,41.5036
2004/5/18,41.7517
2004/5/19,41.7362
2004/5/20,41.788
2004/5/21,42.4102
2004/5/24,42.8353
2004/5/25,43.3745
2004/5/26,43.5819
2004/5/27,44.3078
2004/5/28,44.1833
2004/6/1,43.9137
2004/6/2,43.5197
2004/6/3,43.1568
2004/6/4,43.6753
2004/6/7,44.4737
2004/6/8,44.8677
2004/6/9,44.6914
2004/6/10,44.9507
2004/6/14,44.5981
2004/6/15,45.2099
2004/6/16,45.1684
2004/6/17,46.8793
2004/6/18,46.9208
2004/6/21,47.3252
2004/6/22,47.3563
2004/6/23,48.3207
2004/6/24,48.4658
2004/6/25,48.6629
2004/6/28,48.7354
2004/6/29,48.7147
2004/6/30,48.7354
2004/7/1,49.5754
2004/7/2,49.5754
2004/7/6,49.4198
2004/7/7,49.3161
2004/7/8,48.4762
2004/7/9,48.217
2004/7/12,48.3103
2004/7/13,47.9163
2004/7/14,47.5948
2004/7/15,47.5015
2004/7/16,47.3667
2004/7/19,47.3667
2004/7/20,47.6674
2004/7/21,47.0971
2004/7/22,47.0141
2004/7/23,46.0291
2004/7/26,45.6247
2004/7/27,47.1386
2004/7/28,47.7711
2004/7/29,48.4969
2004/7/30,48.331
2004/8/2,48.1237
2004/8/3,47.346
2004/8/4,47.346
2004/8/5,46.0913
2004/8/6,45.2099
2004/8/9,44.9196
2004/8/10,45.6247
2004/8/11,45.3032
2004/8/12,44.5359
2004/8/13,44.9921
2004/8/16,45.5832
2004/8/17,45.9772
2004/8/18,46.4075
2004/8/19,46.6883
2004/8/20,46.5323
2004/8/23,46.3764
2004/8/24,46.366
2004/8/25,46.9795
2004/8/26,47.0522
2004/8/27,47.1666
2004/8/30,47.0314
2004/8/31,47.6137
2004/9/1,47.4578
2004/9/2,48.3
2004/9/3,48.3104
2004/9/7,48.8407
2004/9/8,48.7992
2004/9/9,48.5184
2004/9/10,48.7992
2004/9/13,49.1007
2004/9/14,49.3191
2004/9/15,49.1527
2004/9/16,49.9638
2004/9/17,50.2341
2004/9/20,49.5062
2004/9/21,50.1925
2004/9/22,49.8078
2004/9/23,49.7142
2004/9/24,49.8494
2004/9/27,49.6622
2004/9/28,49.4854
2004/9/29,49.2775
2004/9/30,49.1735
2004/10/1,49.7454
2004/10/4,50.9828
2004/10/5,50.9412
2004/10/6,51.0556
2004/10/7,50.8372
2004/10/8,50.7436
2004/10/11,50.7748
2004/10/12,50.4421
2004/10/13,50.3901
2004/10/14,50.8164
2004/10/15,50.9308
2004/10/18,51.1076
2004/10/19,50.7644
2004/10/20,51.7211
2004/10/21,51.3155
2004/10/22,51.1284
2004/10/25,52.0746
2004/10/26,52.4697
2004/10/27,52.5737
2004/10/28,52.6777
2004/10/29,52.5737
2004/11/1,53.0313
2004/11/2,53.6967
2004/11/3,54.0711
2004/11/4,54.6638
2004/11/5,54.591
2004/11/8,53.7071
2004/11/9,54.2479
2004/11/10,54.695
2004/11/11,55.1109
2004/11/12,55.7868
2004/11/15,54.7158
2004/11/16,54.1231
2004/11/17,53.8319
2004/11/18,53.7172
2004/11/19,53.0811
2004/11/22,52.8725
2004/11/23,54.1969
2004/11/24,55.3545
2004/11/26,55.1355
2004/11/29,55.4483
2004/11/30,55.2815
2004/12/1,56.1575
2004/12/2,56.6372
2004/12/3,56.9605
2004/12/6,57.4298
2004/12/7,57.096
2004/12/8,57.1169
2004/12/9,56.9083
2004/12/10,56.9918
2004/12/13,57.6279
2004/12/14,57.7739
2004/12/15,57.2003
2004/12/16,58.2119
2004/12/17,58.9002
2004/12/20,59.3903
2004/12/21,59.8596
2004/12/22,60.4019
2004/12/23,60.4332
2004/12/27,60.2142
2004/12/28,61.257
2004/12/29,60.819
2004/12/30,60.6209
2004/12/31,60.0995
